Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z
CAL	CAL	CAL	CAL
mSecs	deg/sec	deg/sec	deg/sec
3341793,030	142,125	1,465	-151,282
3341797,913	142,491	10,623	-153,846
3341802,795	134,799	6,593	-161,538
3341807,678	131,868	14,652	-159,341
3341812,561	130,037	2,198	-174,359
3341817,444	155,311	17,216	-171,429
3341822,327	154,579	26,007	-158,974
3341827,209	151,648	23,810	-166,300
3341832,092	141,026	47,985	-165,568
3341836,975	134,799	23,077	-159,707
3341841,858	136,630	26,740	-164,103
3341846,741	137,363	23,443	-168,864
3341851,624	141,026	31,502	-174,359
3341856,506	143,223	32,601	-167,033
3341861,389	138,462	29,304	-165,934
3341866,272	146,154	33,333	-170,696
3341871,155	139,927	27,473	-168,864
3341876,038	136,264	27,473	-168,498
3341880,920	157,143	29,670	-166,300
3341885,803	140,293	21,612	-165,568
3341890,686	143,223	19,414	-167,399
3341895,569	146,154	26,007	-160,073
3341900,452	142,491	23,443	-157,143
3341905,334	147,619	19,780	-155,311
3341910,217	151,648	31,868	-160,440
3341915,100	158,242	39,194	-148,718
3341919,983	157,875	45,788	-144,689
3341924,866	161,905	38,828	-146,520
3341929,749	153,846	44,322	-143,223
3341934,631	158,974	32,601	-160,806
3341939,514	163,736	21,245	-159,341
3341944,397	168,864	11,355	-160,073
3341949,280	170,330	17,582	-155,678
3341954,163	169,597	21,245	-151,648
3341959,045	170,696	25,275	-155,311
3341963,928	185,348	17,582	-142,491
3341968,811	192,674	8,425	-143,956
3341973,694	184,615	15,385	-121,245
